cbo_sum,dit_sum,lcom_sum,repo_name,stars,forks,age_years,releases,loc
26251,5704,140099,plantuml,10336,938,13.89041095890411,0,186331
990,191,4783,MVPArms,10276,2388,8.134246575342466,0,5986
7273,2915,38065,mockito,14821,2546,11.947945205479453,0,51565
3068,1099,14309,jjwt,10212,1321,10.032876712328767,0,15901
5593,3675,22168,VirtualApp,10163,2896,8.216438356164383,0,46624
359,148,1932,ViewPagerIndicator,10137,4009,13.142465753424657,0,2947
8920,6435,39988,pkl,10133,270,0.673972602739726,0,53995
158987,35233,1505339,hadoop,14658,8831,10.076712328767123,0,1639739
19424,5213,300733,Activiti,10079,6940,12.032876712328767,0,152904
150,58,75,glide-transformations,9899,1410,9.70958904109589,0,991
295,49,403,easypermissions,9861,1461,8.756164383561643,0,1705
4529,976,4049,paascloud-master,9834,4317,6.523287671232877,0,16428
328,164,621,AVLoadingIndicatorView,9745,1893,8.917808219178083,0,2161
102,34,500,JsBridge,9736,2010,9.578082191780823,0,1037
1486,485,4293,Fragmentation,9717,2110,8.586301369863014,0,8981
515,138,2775,MagicIndicator,9715,1544,8.246575342465754,0,4533
475,46,99,Paper,9701,2269,8.673972602739726,0,3095
1739,827,5112,bytecode-viewer,14614,1141,9.947945205479453,0,19877
3753,971,34501,flyway,8126,1502,11.778082191780822,0,27891
282,71,4377,AndroidPdfViewer,8120,1890,8.30958904109589,0,3328
3141,678,1767,shardingsphere-elasticjob,8116,3278,9.038356164383561,0,15073
1099,230,19322,SpringCloud-Learning,7358,2883,8.093150684931507,0,5631
164,36,108,ShortcutBadger,7347,1343,10.857534246575343,0,885
9419,1632,135987,aeron,7332,887,10.627397260273973,0,114609
53562,8987,121172,graylog2-server,7331,1055,14.35890410958904,0,224525
2316,569,16494,Mapper,7320,1627,9.843835616438357,0,19092
1289,499,2431,dagger,7306,3058,12.145205479452056,0,8043
550,132,2480,Android-Bootstrap,7285,1428,10.895890410958904,0,10389
70,20,497,sweet-alert-dialog,7267,1939,9.934246575342465,0,943
132,30,843,VBlog,7266,2925,6.745205479452054,0,781
2366,646,14601,RePlugin,7253,1525,7.295890410958904,0,30275
278,69,599,TakePhoto,7242,1506,9.142465753424657,0,2403
1992,647,15812,UltimateRecyclerView,7224,1427,9.657534246575343,0,16083
0,1,0,SDE-Interview-Questions,7216,2159,6.9150684931506845,0,5
1835,360,4305,agera,7198,639,8.76986301369863,0,10897
113,29,185,WeChatLuckyMoney,7188,2222,8.983561643835616,0,931
1362,367,199974,xmall,7146,2555,7.158904109589041,0,45293
3149,653,10186,baritone,7139,1432,6.145205479452055,0,22113
2616,842,27071,ActionBarSherlock,7100,3536,13.553424657534247,0,26463
40781,6845,207107,gocd,7099,970,10.783561643835617,0,271557
754,390,1706,awesome-low-level-design,7091,1876,0.8493150684931506,0,7710
286,74,437,SmartTabLayout,7089,1341,9.610958904109589,0,1912
16897,5228,47040,mapstruct,7051,946,12.326027397260274,0,92842
2446,662,8946,Timber,6993,2155,9.284931506849315,0,21859
2586,564,52485,elasticsearch-sql,6990,1538,10.084931506849315,0,32643
625,258,3191,nanohttpd,6935,1692,12.123287671232877,0,7106
220,69,760,AndroidPerformanceMonitor,6660,1019,8.687671232876712,0,2234
234,51,117,rabbitmq-tutorials,6633,3566,14.013698630136986,0,1480
671,196,1258,AndPermission,6625,1099,8.035616438356165,0,4486
539,110,930,haven,6615,727,7.567123287671233,0,4561
6721,1699,9641,KnowStreaming,6916,1278,4.515068493150685,0,31517
2596,3449,2908,DroidPlugin,6893,2530,9.07945205479452,0,22301
11137,3621,58403,MinecraftForge,6888,2683,12.654794520547945,0,60472
261,102,434,okhttputils,6876,2389,9.104109589041096,0,1961
25314,6475,94345,error-prone,6824,742,10.093150684931507,0,124751
634,197,3486,LSPatch,6813,724,3.5616438356164384,0,7008
6998,1767,40595,HMCL,6812,672,9.26027397260274,0,61488
3683,844,74539,rest-assured,6811,1877,13.931506849315069,0,28526
2341,538,48128,PojavLauncher,6597,1264,4.536986301369863,0,25554
24488,5740,214841,storm,6590,4076,10.887671232876713,0,365496
24428,5390,117521,alluxio,6805,2934,11.758904109589041,0,225214
837,213,5193,netty-socketio,6773,1647,12.704109589041096,0,6190
3343,1005,17701,BookReader,6569,1877,8.142465753424657,0,30914
65,17,906,Toasty,6567,809,7.67945205479452,0,487
4146,860,3624,PowerJob,6770,1190,4.523287671232877,0,23528
1343,303,4091,springBoot,6511,3075,7.879452054794521,0,6250
1515,577,5377,jvm-sandbox,6761,1558,7.142465753424657,0,14407
296,112,817,walle,6757,1081,7.704109589041096,0,4633
183,36,449,react-native-push-notification,6752,2052,8.778082191780822,0,1884
1982,420,1417,SpringAll,28239,8119,6.397260273972603,0,6035
13980,3262,120572,angel,6728,1605,7.416438356164384,0,204252
455,156,687,AndroidAutoLayout,6675,1897,8.849315068493151,0,2370
1377,259,2088,ansj_seg,6478,2317,12.054794520547945,0,12130
1,3,1,JavaTutorial,6672,1562,6.397260273972603,0,14
280,58,2728,mybatis-generator-gui,6660,2531,8.378082191780821,0,3047
109102,19130,892961,druid,27902,8569,12.895890410958904,0,730090
3874,749,18243,spring-cloud-alibaba,27817,8312,6.810958904109589,0,20636
765,185,3362,xxl-job,27398,10843,8.821917808219178,0,8637
417,96,4543,vhr,27298,10295,6.720547945205479,0,2971
318,177,286,JCSprout,27069,7092,6.76986301369863,0,4399
25210,3990,52816,ruoyi-vue-pro,26806,5685,3.663013698630137,0,76008
1186,322,4090,miaosha,26191,6624,6.027397260273973,0,8581
11720,9518,797969,fastjson,25723,6503,12.895890410958904,0,206496
1077,336,2851,butterknife,25558,4607,11.558904109589042,0,7712
21215,5966,1891243,incubator-seata,25227,8758,5.739726027397261,0,209306
331,88,1171,proxyee-down,24937,4442,6.9150684931506845,0,3392
2549,656,11350,SmartRefreshLayout,24891,4945,7.3123287671232875,0,18989
3389,1498,468156,processing,6469,1504,11.665753424657535,0,110008
1281,388,12285,AndroidPicker,6460,1466,8.926027397260274,0,13198
126,27,1612,RoundedImageView,6441,1247,11.58904109589041,0,1265
139,57,450,Leaf,6424,1837,5.786301369863014,0,1305
466,238,1145,itstack-demo-design,6417,1908,4.342465753424658,0,3992
2583,767,6868,AndroidProject,6408,1346,5.920547945205479,0,20468
27996,2987,41935,datahub,9691,2864,8.852054794520548,0,119459
2462,564,7157,Android-skin-support,6389,1078,7.695890410958904,0,19377
10798,2280,27029,resilience4j,9678,1325,9.312328767123288,0,58744
309,55,2815,Android-Image-Cropper,6388,1370,9.693150684931506,0,4655
1597,862,5643,xManager,9673,272,3.621917808219178,0,44993
12017,2671,94762,zeppelin,6380,2806,9.504109589041096,0,191873
80582,20117,740549,Telegram,24801,8004,10.915068493150685,0,1462835
117,35,1011,android-floating-action-button,6375,1460,10.016438356164384,0,1078
1099,230,19322,springcloud-learning,6359,2770,5.046575342465753,0,5631
627,336,1657,EventBus,24668,4656,12.191780821917808,0,5269
6698,3148,40609,Hystrix,24072,4702,11.846575342465753,0,62010
848,249,10204,Spring-Cloud-Platform,6352,2396,7.3342465753424655,0,6014
48,11,23,JimuReport,6344,1628,4.802739726027397,0,147
25231,6394,641515,CoreNLP,9653,2701,11.243835616438357,0,565452
12818,2158,23258,WukongCRM-11.0-JAVA,6334,958,3.4657534246575343,0,64304
1680,659,2536,Android-ObservableScrollView,9651,2063,9.876712328767123,0,12621
1004,287,10413,spark,9636,1558,13.394520547945206,0,9588
647,226,3082,android-Ultra-Pull-To-Refresh,9584,2655,9.865753424657534,0,5476
75,19,146,spring-boot-api-project-seed,9577,3781,7.254794520547946,0,484
888,277,8171,DanmakuFlameMaster,9544,2103,11.123287671232877,0,12879
176534,40815,708687,flink,23865,13262,10.301369863013699,0,1163263
16205,3743,14480,skywalking,23719,6504,8.882191780821918,0,85372
3332,1354,21862,gson,23275,4275,9.517808219178082,0,34568
15617,3534,468080,redisson,23212,5338,10.7013698630137,0,155460
13359,3954,111466,junit5,6328,1470,9.7013698630137,0,87856
129610,30672,657673,OpenSearch,9543,1751,3.6465753424657534,0,1173474
372,115,1103,AndroidVideoCache,5423,1153,9.484931506849316,0,3217
